/* DATA DESCRIPTION:
Citation:	Extier, Thomas; Landais, Amaelle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus C (2018): δ¹⁸Oatm records between 100-800 ka from EPICA Dome C ice core. PANGAEA, https://doi.org/10.1594/PANGAEA.887323, 
	In supplement to: Extier, T et al. (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
Related to:	Bazin, Lucie; Landais, Amaelle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus C; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus C (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Landais, Amaelle; Dreyfus, Gabrielle; Capron, Emilie; Jouzel, Jean; Masson-Delmotte, Valerie; Roche, D M; Prié, F; Caillon, Nicolas; Chappellaz, Jérôme A; Leuenberger, Markus C; Lourantou, Anna; Parrenin, Frédéric; Raynaud, Dominique; Teste, Grégory (2013): Two-phase change in CO2, Antarctic temperature and global climate during Termination II. Nature Geoscience, 6(12), 1062-1065, https://doi.org/10.1038/ngeo1985
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1410.77 m * MAXIMUM DEPTH, ice/snow: 3191.14 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr)
	AGE [ka BP] (Age) * GEOCODE * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr) * COMMENT: gas age
	δ18O, atmospheric [‰] (δ18Oatm) * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	999 data points
*/
Depth ice/snow [m]	Age [ka BP]	δ18Oatm [‰]
2923.77	548.295	0.1255
2925.97	550.153	0.0940
2927.23	551.122	0.0445
2928.72	552.111	0.0105
2931.59	553.589	0.0725
2932.57	554.143	0.0785
2935.32	555.842	0.0700
2935.99	556.188	0.0755
2939.72	557.842	0.4540
2940.38	558.116	0.4560
2944.12	559.873	0.5315
2944.79	560.216	0.4987
2948.52	561.888	0.6040
2949.19	562.146	0.5870
2953.59	563.778	0.5890
2955.12	564.311	0.5654
2957.99	565.381	0.5190
2961.72	566.589	0.4310
2962.39	566.790	0.4225
2966.79	568.087	0.1185
2968.87	568.731	0.1750
2969.42	568.930	0.1210
2971.19	569.540	0.0550
2974.92	570.862	-0.0860
2975.59	571.104	-0.0712
2979.99	572.525	-0.2755
2981.52	573.053	-0.2300
2984.39	574.188	-0.2710
2987.02	575.235	-0.2690
2988.79	575.932	-0.2965
2992.52	577.653	-0.2505
2993.19	577.982	-0.2455
2996.92	579.832	0.0330
2997.59	580.178	0.0255
2999.67	581.477	0.1535
3001.99	583.515	0.2310
3002.97	584.520	0.4505
3004.62	586.097	0.6430
3006.39	587.829	0.5325
3006.82	588.277	0.6095
3007.37	588.850	0.5650
3009.02	590.486	0.3590
3010.79	592.322	-0.0385
3011.22	592.783	-0.0515
3011.77	593.438	-0.0720
3013.42	595.433	-0.0015
3015.07	597.555	-0.0075
3015.19	597.723	-0.0045
3017.27	600.535	0.1990
3018.92	602.598	0.5110
3019.59	603.417	0.5085
3021.67	605.980	0.6585
3023.32	607.976	0.6620
3023.99	608.749	0.5410
3026.07	611.017	0.4275
3028.27	613.349	0.1520
3028.43	613.521	0.0775
3030.47	615.746	-0.0165
3031.57	616.997	-0.0560
3032.79	618.431	-0.1045
3034.32	620.281	-0.1700
3035.97	622.326	0.2520
3037.07	623.773	0.5760
3037.19	623.930	0.5950
3038.72	626.044	1.1000
3039.82	627.825	1.1220
3040.47	629.019	1.1900
3040.92	629.861	1.0720
3041.59	631.382	0.9340
3042.02	632.386	0.8350
3042.67	633.896	0.6770
3043.12	635.003	0.4380
3043.12	635.009	0.6538
3044.22	637.708	0.5390
3044.86	639.267	0.4967
3045.32	640.366	0.3955
3045.99	641.944	0.3980
3046.42	642.851	0.3600
3047.07	644.197	0.4260
3047.52	645.145	0.4085
3048.62	647.250	0.4785
3049.24	648.421	0.5990
3049.72	649.187	0.5710
3050.39	650.249	0.6415
3050.82	650.947	0.6402
3051.47	651.976	0.7262
3051.91	652.697	0.6585
3053.02	654.439	0.6268
3053.66	655.428	0.6265
3054.67	656.925	0.4290
3054.78	657.091	0.4983
3055.86	658.662	0.3445
3056.32	659.412	0.2248
3057.97	662.045	0.0495
3058.07	662.188	0.1435
3059.18	663.857	0.0025
3059.62	664.416	-0.0705
3060.26	665.245	-0.0125
3061.27	666.620	0.2010
3062.47	668.337	0.0390
3063.44	669.562	0.0390
3063.59	669.745	0.0910
3064.64	670.950	0.0790
3065.67	672.033	-0.3720
3065.67	672.036	0.1615
3066.86	673.616	0.4200
3067.99	674.939	0.5315
3068.42	675.403	0.4675
3069.07	676.085	0.5910
3071.17	678.167	0.5565
3071.26	678.266	0.6350
3072.39	679.408	0.5665
3073.47	680.263	0.4955
3074.47	681.143	0.3480
3075.67	682.289	0.2525
3076.78	683.393	0.1890
3077.22	683.823	0.0650
3077.86	684.373	0.0905
3080.07	686.210	-0.1155
3081.07	687.011	-0.1715
3081.18	687.101	-0.1165
3082.24	687.926	-0.1560
3084.47	689.627	-0.1780
3084.92	689.955	-0.2560
3085.59	690.435	-0.2555
3086.66	691.179	-0.1235
3088.86	692.791	0.0225
3089.32	693.092	-0.0415
3089.99	693.536	-0.0030
3091.07	694.240	0.1405
3093.17	695.627	0.2475
3093.26	695.690	0.3250
3094.39	696.401	0.3440
3095.47	697.050	0.4830
3097.66	698.457	0.6875
3098.12	698.750	0.6315
3098.78	699.174	0.7485
3099.87	699.830	0.7160
3101.42	700.811	0.7930
3102.07	701.228	0.8890
3103.18	701.953	0.8855
3104.26	702.692	0.8705
3104.59	702.923	0.8190
3106.54	704.308	0.8525
3107.53	704.987	0.8005
3108.74	705.785	0.7305
3110.77	707.228	0.5640
3110.97	707.377	0.6120
3111.93	708.106	0.4925
3112.42	708.504	0.4059
3113.08	709.047	0.3735
3113.52	709.406	0.3380
3115.16	710.899	0.1863
3115.39	711.106	0.2780
3116.34	711.942	0.2315
3117.43	712.949	0.2270
3118.47	713.932	0.1560
3119.79	715.239	0.2995
3120.10	715.543	0.3063
3120.74	716.188	0.3515
3121.77	717.243	0.3863
3121.93	717.450	0.5235
3122.87	718.668	0.5100
3123.96	719.981	0.4641
3124.15	720.186	0.3125
3125.14	721.265	0.1570
3125.62	721.793	0.0755
3126.17	722.392	-0.0596
3126.35	722.586	0.0945
3128.37	724.882	0.0800
3128.54	725.066	0.1663
3129.53	726.152	0.1800
3130.74	727.473	0.2983
3132.12	728.988	0.2000
3133.01	729.925	0.2995
3133.93	730.826	0.2435
3134.88	731.689	0.2470
3135.14	731.941	0.2825
3137.17	733.943	0.2836
3137.34	734.100	0.3370
3138.34	735.038	0.3430
3138.69	735.377	0.2745
3139.53	736.182	0.3320
3140.51	737.232	0.3453
3141.76	738.706	0.2480
3142.78	740.013	0.1950
3143.93	741.421	0.1395
3145.98	743.862	-0.0082
3146.14	744.051	0.1705
3147.14	745.267	0.1730
3148.17	746.509	0.1050
3148.34	746.708	0.1810
3148.73	747.185	0.1287
3150.37	749.162	0.0880
3150.55	749.371	0.2050
3151.49	750.503	0.1355
3151.53	750.559	0.2120
3152.57	751.867	0.0805
3152.76	752.101	0.2600
3154.78	754.884	0.1525
3154.84	754.957	0.2910
3155.93	756.376	0.2905
3157.14	757.897	0.3345
3157.53	758.371	0.0483
3159.24	760.390	0.1840
3159.72	760.936	0.0870
3160.28	761.629	0.0936
3160.34	761.697	0.1555
3161.60	763.303	0.1240
3162.34	764.369	-0.0443
3163.57	766.077	0.0290
3163.74	766.295	0.1215
3164.74	767.618	0.1070
3165.23	768.252	-0.0577
3165.95	769.167	0.1935
3167.43	771.270	0.0780
3168.14	772.278	0.3920
3169.14	773.548	0.3945
3169.63	774.178	0.1194
3170.34	775.059	0.4970
3170.60	775.391	0.4798
3172.55	777.780	0.3365
3173.53	778.929	0.2800
3174.74	780.282	0.1510
3175.67	781.361	0.0620
3176.99	782.847	0.0725
3177.33	783.214	-0.0033
3177.96	783.901	0.0190
3179.14	785.117	0.1380
3180.08	786.110	-0.0333
3181.39	787.478	0.4325
3182.34	788.386	0.4785
3183.58	789.616	0.5290
3185.74	792.126	0.6840
3186.81	793.603	0.6495
3187.93	795.231	0.5870
3188.87	796.676	0.4870
3190.53	799.472	0.2045
3191.14	800.545	0.2732
